N,StencilRadius,ComputationTime(ms),AccessPerMs,storageType
16,1,0.23458003997802734,1091.3119463360097,2
8192,3,203.92894744873047,16453981.849945987,1
16384,3,774.5989561080933,17327383.020804156,1
